subject_name,session_name,state,posterior_occupancy
GRB006,20231212_130030,1,0.97297865
GRB006,20231215_112543,1,0.98905087
GRB006,20240109_144700,1,0.9780972
GRB006,20240110_135431,1,0.9857399
GRB006,20240110_162338,1,0.99474806
GRB006,20240111_132629,1,0.93836504
GRB006,20240112_135518,1,0.8894908
GRB006,20240116_163044,1,0.98502254
GRB006,20240117_152600,1,0.8979855
GRB006,20240118_133404,1,0.96526587
GRB006,20240228_131618,1,0.97794175
GRB006,20240229_132420,1,0.785581
GRB006,20240301_144326,1,0.75013214
GRB006,20240304_122108,1,0.9889482
GRB006,20240305_135034,1,0.8278784
GRB006,20240306_133858,1,0.9644514
GRB006,20240307_155109,1,0.8475834
GRB006,20240308_152123,1,0.77103764
GRB006,20240311_174310,1,0.94964564
GRB006,20240313_141512,1,0.9637667
GRB006,20240314_155950,1,0.7864086
GRB006,20240315_141855,1,0.45728633
GRB006,20240318_125437,1,0.6669494
GRB006,20240319_120110,1,0.69664353
GRB006,20240320_124113,1,0.7812859
GRB006,20240321_131913,1,0.8110129
GRB006,20240322_141501,1,0.6772568
GRB006,20240323_142335,1,0.43909305
GRB006,20240324_135731,1,0.6740052
GRB006,20240325_115618,1,0.5203895
GRB006,20240326_140658,1,0.44769406
GRB006,20240327_154217,1,0.53540796
GRB006,20240328_135035,1,0.32029587
GRB006,20240330_144712,1,0.45685527
GRB006,20240331_132807,1,0.35033312
GRB006,20240401_125219,1,0.58825964
GRB006,20240402_140646,1,0.62361187
GRB006,20240403_131227,1,0.39099354
GRB006,20240404_115105,1,0.55990136
GRB006,20240405_142239,1,0.30718338
GRB006,20240406_122407,1,0.40276614
GRB006,20240407_123014,1,0.8947871
GRB006,20240408_135314,1,0.94427174
GRB006,20240419_151040,1,0.9903775
GRB006,20240423_162658,1,0.6966121
GRB006,20240424_150511,1,0.8129106
GRB006,20240426_174044,1,0.9640305
GRB006,20240429_174359,1,0.4985618
GRB006,20240429_184502,1,0.55278933
GRB006,20240430_183206,1,0.50456697
GRB006,20240501_195113,1,0.32846367
GRB006,20240502_161058,1,0.38249612
GRB006,20240503_163955,1,0.5860713
GRB006,20240506_171411,1,0.51652056
GRB006,20240507_180829,1,0.58102405
GRB006,20240508_173227,1,0.37278882
GRB006,20240509_163637,1,0.44365755
GRB006,20240510_180411,1,0.39674157
GRB006,20240514_164132,1,0.9583371
GRB006,20240515_164745,1,0.57214534
GRB006,20240516_140225,1,0.75645804
GRB006,20240517_161352,1,0.47631484
GRB006,20240521_170727,1,0.23056829
GRB006,20240522_170215,1,0.31240317
GRB006,20240523_174600,1,0.3231886
GRB006,20240524_162152,1,0.28611404
GRB006,20240529_150103,1,0.5373281
GRB006,20240530_164626,1,0.5450322
GRB006,20240531_164435,1,0.39729095
GRB006,20240604_123410,1,0.30222356
GRB006,20240605_133531,1,0.295718
GRB006,20240606_141045,1,0.36977047
GRB006,20240607_133855,1,0.24580638
GRB006,20240610_133557,1,0.93816924
GRB006,20240611_134554,1,0.30516785
GRB006,20240612_142350,1,0.29419667
GRB006,20240613_140011,1,0.40800244
GRB006,20240614_132538,1,0.47631884
GRB006,20240617_123448,1,0.808874
GRB006,20240620_124808,1,0.48247147
GRB006,20240621_143838,1,0.74744433
GRB006,20240624_112117,1,0.3589515
GRB006,20240625_130638,1,0.36460075
GRB006,20240626_113043,1,0.77785605
GRB006,20240627_141852,1,0.9819314
GRB006,20240628_130506,1,0.33086717
GRB006,20240701_112146,1,0.30651668
GRB006,20240702_134736,1,0.3268754
GRB006,20240710_124222,1,0.5258767
GRB006,20240711_134140,1,0.70493734
GRB006,20240715_134530,1,0.61590874
GRB006,20240716_151257,1,0.4280506
GRB006,20240717_154846,1,0.54516554
GRB006,20240718_150828,1,0.3755441
GRB006,20240722_142540,1,0.5713388
GRB006,20240723_142451,1,0.47488883
GRB006,20240724_144439,1,0.7223734
GRB006,20240725_153628,1,0.80255765
GRB006,20240729_155308,1,0.8855406
GRB006,20240730_142934,1,0.94683605
GRB006,20240801_164225,1,0.7861149
GRB006,20240805_142718,1,0.66854393
GRB006,20240806_141817,1,0.55165875
GRB006,20240807_120640,1,0.6295557
GRB006,20240813_132409,1,0.9360891
GRB006,20240814_154434,1,0.72755975
GRB006,20240815_111040,1,0.56013054
GRB006,20240819_110829,1,0.9860166
GRB006,20240820_115126,1,0.9581993
GRB006,20240821_121447,1,0.884017
GRB006,20240822_100914,1,0.9686757
GRB006,20241002_142716,1,0.8938321
GRB006,20241003_112246,1,0.9111774
GRB006,20241004_120803,1,0.91572595
GRB006,20241007_142037,1,0.76543236
GRB006,20241008_151755,1,0.7873469
GRB006,20241011_121243,1,0.9279975
GRB006,20241015_145423,1,0.9266006
GRB006,20241016_153658,1,0.84042746
GRB006,20241018_141859,1,0.9299398
GRB006,20241021_172639,1,0.9649985
